author;first_commit;2014-01-01;2014-02-01;2014-03-01;2014-04-01;2014-05-01;2014-06-01;2014-07-01;2014-08-01;2014-09-01;2014-10-01;2014-11-01;2014-12-01;2015-01-01;2015-02-01;2015-03-01;2015-04-01;2015-05-01;2015-06-01;2015-07-01;2015-08-01;2015-09-01;2015-10-01;2015-11-01;2015-12-01;2016-01-01;2016-02-01;2016-03-01;2016-04-01;2016-05-01;2016-06-01;2016-07-01;2016-08-01;2016-09-01;2016-10-01;2016-11-01;2016-12-01;2017-01-01;2017-02-01;2017-03-01;2017-04-01;2017-05-01;2017-06-01;2017-07-01;2017-08-01;2017-09-01;2017-10-01;2017-11-01;2017-12-01;2018-01-01;2018-02-01;2018-03-01;2018-04-01;2018-05-01;2018-06-01;2018-07-01;2018-08-01;2018-09-01;2018-10-01;2018-11-01
Liana Bakradze;2014-01-01;3;0;0;3;0;0;3;26;31;34;5;18;5;6;2;0;4;0;7;19;6;2;14;3;2;11;2;6;3;18;5;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
Liana.Bakradze;2016-10-01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;20;15;9;17;51;31;12;35;12;7;3;1;7;0;4;0;0;1;0;6;0;0;0;0;0
Liudmila Kornilova;2018-10-01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
Luke Anderson;2014-10-01;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Marat Khabibullin;2017-10-01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0
Marcin Mielnicki;2017-02-01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Marcus Hüsgen;2015-01-01;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Mari Baburina;2017-11-01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;2;0;0;0
Martin Zdarsky;2016-10-01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Matthew L Daniel;2014-10-01;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Max Medvedev;2014-01-01;44;55;79;38;39;30;4;5;6;3;1;8;3;3;4;2;0;0;2;0;6;3;2;0;3;3;2;2;1;3;0;1;1;2;0;1;0;0;1;2;0;2;2;0;0;1;7;6;1;16;0;1;3;6;8;12;2;2;0
